% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=161168, Wed Nov 26 12:23:00 2025
31 496 0.07002137228831101 1.5211483679848494 0.7820774192503431 0.7820774192503431 0.8097392981225464 0.8232507018258257 0.8327689837950788 0.8468161693380025 0.8767527296268578 0.9048338920270945 0.9266952467587197 0.9341091831568399 0.9515636734376486 0.952122768243347 0.973299736166512 0.9857304496272056 0.99207827088374 1.0048929413643195 1.0201171797716058 1.0551844372588512 1.0767210783628234 1.0889528479410011 1.1432379302185407 1.2822833734007497 1.5211483679848494
32 512 0.06997167406412437 1.5206624211767177 0.7826371193931762 0.7826371193931762 0.8040696386618109 0.8186049981315839 0.8333838556061317 0.8457756636408388 0.8636048565104398 0.9066109372697873 0.9231067866033056 0.9324098398205662 0.954186263081623 0.9566105435803984 0.9717296438653381 0.9833350835877335 0.9902605505447802 1.00714766022434 1.0281821582946704 1.0576789003456408 1.0717714816361747 1.1102686219379887 1.1615950282309995 1.267320268912377 1.5206624211767177
33 528 0.07221177406125279 1.5236646864802008 0.7774243882496151 0.7774243882496151 0.7902811795516976 0.8156965159023417 0.8347010323999341 0.8418895793822381 0.857863951884537 0.8970986280138102 0.9187014475656902 0.9196388795456215 0.946360193024327 0.954447477103774 0.9736859767363806 0.9808627236861932 0.9929254030295042 1.0186084609756656 1.037948964689585 1.0642543694252669 1.0759081225068938 1.1093717158365484 1.1789833085025743 1.2692025471851958 1.5236646864802008
34 544 0.07319884796183672 1.5194142785287468 0.7770767980432509 0.7770767980432509 0.7861465968653037 0.8159424192416747 0.836056064962736 0.8375372479754531 0.857760084071124 0.8915691321897327 0.9207005842062269 0.9308559010883853 0.9432676560281553 0.9564784788546181 0.965791263588353 0.9881938681301692 0.9935483723853324 1.02371807710338 1.0408426759245357 1.0710981598588203 1.0804703880403255 1.1094047707627246 1.191207228843132 1.270485032154138 1.5194142785287468
35 560 0.07206427091086004 1.5117984113651777 0.7738390361745677 0.7738390361745677 0.784364379090843 0.814312955362435 0.8337817979037485 0.8393509308974407 0.8552988957338026 0.8857627654392592 0.9070738608919898 0.9312124611162919 0.9370488099725961 0.955218246518499 0.9631884785895521 0.9878965796598501 0.9908074048725849 1.0348348925432862 1.0406264449753837 1.0543505000021098 1.08825707694493 1.1071624237918714 1.2105343766785803 1.2675412140294615 1.5117984113651777
36 576 0.07193747036412644 1.500471818474919 0.7709975253492168 0.7709975253492168 0.7819077238024639 0.804787566680745 0.8264837877729568 0.837467680787949 0.8629286125631451 0.8886124033148622 0.900785752601558 0.9276981612387329 0.9413151197512865 0.9494024655124871 0.9549510657453413 0.9876478614256596 0.9952149850917758 1.0328135566469634 1.03847931508759 1.064237106851096 1.1008598537529741 1.109189638190329 1.2123310802439333 1.2637496314707668 1.500471818474919
37 592 0.07019281065861273 1.5113219540446299 0.7611413610594775 0.7611413610594775 0.7727274542350495 0.8041834883486597 0.8234381369115776 0.8350883698702107 0.8715277811517302 0.8864310801543115 0.9009794761616408 0.933788551680056 0.9412699104516974 0.9482723423873882 0.9536383006322244 0.9855477066060987 0.9965242811345156 1.0346659673054954 1.0427010889102029 1.067357408840051 1.100663731454013 1.113195746454669 1.2068140287136375 1.2627131613741664 1.5113219540446299
38 608 0.06932306737329591 1.508786058337625 0.7635215074253107 0.7635215074253107 0.7705119562737863 0.8026799222671948 0.8221928499786939 0.8293557548049958 0.8637923861943428 0.8859969434749752 0.9009842298319481 0.9318854281122002 0.9360754711675788 0.9456515951902174 0.9640550539402677 0.982718020703734 1.002850717894921 1.0296025968220925 1.038417094549964 1.069958899226923 1.0909558994782602 1.1082552855106802 1.2124388005403657 1.2573387594836356 1.508786058337625
39 624 0.06865450039635089 1.5180071294374786 0.757351720824787 0.757351720824787 0.767165968630671 0.7992920194432412 0.8246310487988232 0.8267280663409632 0.8666326287554794 0.8851442685400158 0.9030641273287898 0.9168828052852612 0.941790842329069 0.9523213465332511 0.9645004250988714 0.9795574035554231 1.0133294830664827 1.0243881199639548 1.0335135903205026 1.0710119210140367 1.0861099475882556 1.1122307244492522 1.2015102710723342 1.2511778071696174 1.5180071294374786
40 640 0.06785634322868832 1.5219357386094756 0.7499016173540901 0.7499016173540901 0.7672831612793114 0.7961288681595035 0.8112035502715329 0.8201438004769859 0.860430412317877 0.8896844043004818 0.9046214246004439 0.9133246573942717 0.9460843804261257 0.957185844392687 0.9642425624285513 0.9844788281386281 1.0154102702153966 1.0253323111171408 1.0325729238976529 1.0702931524511572 1.1035173340403828 1.1104254584980886 1.2023367448789604 1.2569557919704952 1.5219357386094756
41 656 0.06589942761986009 1.5216493292855484 0.7463273687792973 0.7463273687792973 0.7701761431283998 0.7903357055949514 0.8093556697270029 0.8191672474171359 0.8547309974357272 0.8920015857440718 0.896797578111017 0.9170512412146151 0.9424753242728634 0.9557532089751978 0.96983035625656 0.9870744601856599 1.0160761275172059 1.0206885364216132 1.0344504491099986 1.0747172821435311 1.0991796661796196 1.1237220067904599 1.2069423651422544 1.2524613180232398 1.5216493292855484
42 672 0.06492885398165907 1.5156384324080567 0.7427195514353133 0.7427195514353133 0.766076481562123 0.787265955824781 0.800735723363493 0.8198550673961904 0.8510303969511095 0.8879358983029634 0.8939490994005966 0.9095658910404029 0.9397550346884618 0.9632467111917945 0.9730723866574716 0.9879725070886524 1.0109153185284077 1.0214375762892576 1.0324045271827447 1.0712056009689506 1.1007594283153523 1.1269647476335118 1.2138387565190005 1.2483409741656921 1.5156384324080567
